1,1
2024-04-07 01:40:43,1,1
2024-04-07 01:48:00,Coca Cola,1
2024-04-07 01:51:39,Coca Cola,1
2024-04-07 01:54:09,Coca Cola,1
2024-04-07 01:55:06,Pepsi,1,3.20
2024-04-07 01:55:06,Coca Cola,1,2.00
2024-04-07 01:55:06,Pepsi,1,3.20
2024-04-07 01:55:06,Coca Cola,1,2.00
2024-04-07 01:57:21,Coca Cola,3,6.00
2024-04-07 01:57:21,Pepsi,1,3.20
2024-04-07 01:57:21,Coca Cola,3,6.00
2024-04-07 01:57:21,Pepsi,1,3.20
2024-04-07 02:37:42,Coca Cola,1,2.00
2024-04-07 02:37:42,Dairy Milk,1,2.00
2024-04-07 02:37:42,Coca Cola,1,2.00
2024-04-07 02:37:42,Dairy Milk,1,2.00
2024-04-07 02:49:17,Dairy Milk,2,4.00
2024-04-07 02:50:49,Coca Cola,1,2.00
2024-04-07 03:57:06,Dairy Milk,1,2.00
2024-04-07 03:57:06,Coca Cola,2,4.00
2024-04-07 03:57:06,Dairy Milk,1,2.00
2024-04-07 03:57:06,Coca Cola,2,4.00
2024-04-07 04:05:52,Coca Cola,1,2.00
2024-04-07 04:06:24,Coca Cola,2,4.00
2024-04-07 04:06:24,Dairy Milk,1,2.00
2024-04-07 04:07:52,Coca Cola,2,4.00
2024-04-07 04:09:24,Coca Cola,2,4.00
2024-04-07 04:13:34,Coca Cola,3,6.00
2024-04-07 04:15:23,Coca Cola,2,4.00
2024-04-07 04:19:29,Coca Cola,3,6.00
2024-04-07 04:21:55,Coca Cola,3,6.00
2024-04-07 04:24:47,Dairy Milk,2,4.00
2024-04-07 04:26:13,Dairy Milk,2,4.00
2024-04-07 04:29:12,Dairy Milk,2,4.00
2024-04-07 04:31:59,Dairy Milk,2,4.00
2024-04-07 04:35:45,Dairy Milk,3,6.00
2024-04-07 04:36:37,Dairy Milk,1,2.00
2024-04-07 04:44:04,Dairy Milk,2,4.00
2024-04-07 05:16:14,Coca Cola,2,4.00
2024-04-07 05:16:14,Dairy Milk,1,2.00
2024-04-07 05:16:14,Coca Cola,2,4.00
2024-04-07 05:16:14,Dairy Milk,1,2.00
2024-04-07 05:17:23,Coca Cola,1,2.00
2024-04-07 05:17:23,Dairy Milk,1,2.00
2024-04-07 05:17:23,Coca Cola,1,2.00
2024-04-07 05:17:23,Dairy Milk,1,2.00
